Date,Open,High,Low,Close,Adj Close,Volume
6/25/2010,38.580002,38.610001,37.972858,266.699982,34.411499,137485600
6/28/2010,38.132858,38.535713,37.78857,268.299988,34.617943,146237000
6/29/2010,37.73143,37.77,36.328571,256.170013,33.052849,283336200
6/30/2010,36.672855,36.852856,35.715714,251.529999,32.454166,184863000
7/1/2010,36.328571,36.400002,34.745716,248.479996,32.060627,255724000
7/2/2010,35.784286,35.847141,34.742859,246.939987,31.861917,173460700
7/6/2010,35.857143,36.114285,35.165714,248.62999,32.079987,153808900
7/7/2010,35.784286,36.967144,35.67857,258.670013,33.375423,163639000
7/8/2010,37.497143,37.557144,36.412857,258.089996,33.300571,184536100
7/9/2010,36.69857,37.128571,36.451427,259.619995,33.49799,108330600
7/12/2010,36.932858,37.407143,36.408573,257.290009,33.197357,140719600
7/13/2010,36.617142,36.628571,35.204285,251.799988,32.488995,297731000
7/14/2010,35.625713,36.542858,35.57143,252.730011,32.608997,203011900
7/15/2010,35.46143,36.709999,35.328571,251.449997,32.443844,206216500
7/16/2010,36.168571,36.424286,35.487144,249.900009,32.243847,259964600
7/19/2010,35.697144,35.697144,34.228573,245.580017,31.686455,256119500
7/20/2010,34.700001,36.128571,34.287144,251.890015,32.500607,268737700
7/21/2010,37.869999,37.878571,36.285713,254.23999,32.803818,296417800
7/22/2010,36.811428,37.142857,36.472858,259.019989,33.420574,161329700
7/23/2010,36.727142,37.197144,36.611427,259.940002,33.539276,133347200
7/26/2010,37.142857,37.157143,36.815716,259.279999,33.454121,105137900
7/27/2010,37.267143,37.828571,37.185715,264.080017,34.073456,146192900
7/28/2010,37.667141,37.998573,37.17857,260.959991,33.670876,129996300
7/29/2010,37.244286,37.521427,36.585712,258.109985,33.303162,160951700
7/30/2010,36.555714,37.099998,36.414288,257.25,33.192192,112052500
8/2/2010,37.205715,37.512856,37.08857,261.850006,33.785721,107013900
8/3/2010,37.287144,37.60857,37.060001,261.929993,33.796047,104413400
8/4/2010,37.548573,37.754284,37.187141,262.980011,33.931522,105093800
8/5/2010,37.389999,37.597141,37.221428,261.700012,33.766369,72274300
8/6/2010,37.111427,37.355713,36.804287,260.090027,33.558636,111224400
8/9/2010,37.354286,37.450001,37.081429,261.75,33.77282,75782000
8/10/2010,37.121429,37.207142,36.792858,259.410004,33.470898,112980000
8/11/2010,36.485714,36.527142,35.687141,250.190002,32.281265,155013600
8/12/2010,35.241428,36.157143,35.16,251.790009,32.487709,133730100
8/13/2010,35.950001,35.982857,35.584286,249.099991,32.140629,88717300
8/16/2010,35.368572,35.715714,35.23143,247.640015,31.952248,79607500
8/17/2010,35.725716,36.375713,35.599998,251.970016,32.510933,105660100
8/18/2010,36.05143,36.381428,35.939999,253.070007,32.652863,84924000
8/19/2010,36.119999,36.21143,35.525715,249.880005,32.241257,106676500
8/20/2010,35.627144,36.274284,35.57143,249.639999,32.210297,96057500
8/23/2010,35.970001,36,35.035713,245.799988,31.714834,103510400
8/24/2010,34.667141,34.714287,34.092857,239.930008,30.957445,150641400
8/25/2010,34.005714,34.855713,33.885715,242.889984,31.339357,149216900
8/26/2010,35.064285,35.107143,34.325714,240.279999,31.002602,116626300
